VD;STATUS;POLÍTICA COML.;CODIGO;PEOP;LOJAS;REGIAO GGL;REGIAO GR;REGIAO DIV;NOME GGL;NOME GR;NOME DIV;REGIAO IM;ENDEREÇO;BAIRRO;CIDADE;UF;CEP;Latitude;Longitude;ESCOAMENTO;NOME DA FACHADA;INAUG.;SAFRA;CLUSTER;"CLUSTER 
ABREV.";PARCELAMENTO;"CLUSTER DE 
PARCELAMENTO";TELEFONE1;TELEFONE2;CELULAR;E-MAIL;2ª a 6ª;SAB;DOM;FUNC.;TIPO LOJA;FACHADA;PSICOTRÓPICOS;FARMÁCIA POP.;"SERVIÇOS
 FARMACEUTICOS";VACINAS;IFOOD;RAPPI;CORNER SHOP;SUPER EXPRESSA;VAGAS/ESTACIONAMENTO;BICICLETARIO;PDVs ATIVOS;IMOBILIÁRIO;CD SUPRIDOR;INSCR. ESTADUAL;CNPJ;CENTRO DE CUSTOS;VD NOVO;DATA DA UNIFICAÇAO;CNPJ NOVO;DATA INATIVAÇAO;REALOCAÇÃO;DATA DA VIRADA;EAC;DENGUE/COVID;INJETAVEIS;REFORMA;Operadora;Circuito/Designação;ID VIVO
2287;ATIVA;1;2287;L2287;DSP CUIABA III;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;OUTROS;AV PRES GETULIO VARGAS,1245,TERREO1235;CENTRO-NORTE;CUIABA;MT;78005-370;-15.59594;-56.09778;NORMAL;DROGARIA SAO PAULO;8/26/2022;2022;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(65)3027-8816;3027-8817;(65)99944-0092;cuiaba3@dpsp.com.br;24 HORAS;24 HORAS;24 HORAS;24 HORAS;RUA;NEW;NÃO COMERCIALIZA;-;OPERACAO;OPERACAO;ATIVO;INATIVO;INATIVO;ATIVO;16;-;4;TAKANO;917;138908605;61.412.110/1112-24;2022870000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
2293;ATIVA;758;2293;L2293;DSP CUIABA IV;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;OUTROS;AV BRASILIA, 603;JARDIM DAS AMERICAS;CUIABA;MT;78060-601;-15.60962;-56.07103;NORMAL;DROGARIA SAO PAULO;11/12/2022;2022;AR_M;AR;Parcela minima de 60 e até 3X;PADRÃO;-;-;(65)99909-1607;cuiaba4@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;NÃO COMERCIALIZA;BLOQUEADA;OPERACAO;INATIVO;ATIVO;INATIVO;INATIVO;ATIVO;7;-;4;TAKANO;917;139577700;61.412.110/0449-50;2022930000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
2378;ATIVA;758;2378;L2378;DSP CUIABA MARECHAL DEODORO;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV MARECHAL DEODORO,1199;CENTRO-NORTE;CUIABA;MT;78005-100;-22.721908;-47.642295;NORMAL;DROGARIA SAO PAULO;8/23/2023;2023;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(65) 3028-8074;(65) 3028-8075;(65)99961-1357;cuiabamar.deodoro@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;ATIVO;-;-;;TAKANO;917;139718990;61.412.110/1165-36;2023780000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
2288;ATIVA;1;2288;L2288;DSP CUIABA V;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;OUTROS;AV PROF EDNA MARIA DE AL, 29, TERREOQ 22L 01;SANTA CRUZ;CUIABA;MT;78077-099;-15.615009;-56.023432;NORMAL;DROGARIA SAO PAULO;6/30/2022;2022;CBR_M;CBR;Parcela minima de 40 e até 3X;PADRÃO;(65)3051-4580;3051-4581;(65)99610-9824;cuiaba5@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;ATIVO;INATIVO;INATIVO;INATIVO;9;-;3;TAKANO;917;138908621;61.412.110/1113-05;2022880000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
2382;ATIVA;1;2382;L2382;DSP CUIABA VERDAO;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV AGRICOLA PAES DE BARROS;CIDADE ALTA;CUIABA;MT;78030-670;15.60696;-56.12154;NORMAL;DROGARIA SAO PAULO;11/9/2023;2023;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;(65) 3028-8697;(65) 3028-8698;(65)99683-2078;cuiaba.verdao@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;;TAKANO;917;139719008;61.412.110/1166-17;2023820000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
2502;ATIVA;1;2502;L2502;DSP SHOPPING ESTACAO;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV MIGUEL SUTIL, 9300;SANTA ROSA;CUIABA;MT;78040-365;-15.590711;-56.120316;NORMAL;DROGARIA SAO PAULO;3/28/2024;2024;AR_M;AR;Parcela minima de 60 e até 3X;PADRÃO;(65) 3028-8564;(65) 3028-8565;(65)99674-1099;shoppingestacao@dpsp.com.br;10 ÀS 22;10 ÀS 22;11 ÀS 22;DOMINGOS E FERIADOS;SHOP;-;COMERCIALIZA;-;INATIVO;INATIVO;-;-;-;-;-;-;-;TAKANO;917;140260390;61.412.110/1286-23;2025020000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2501;ATIVA;1;2501;L2501;DSP SHOPPING PANTANAL;MT CUIABA;CENTRO OESTE;NORTE;NICOLAS VOINAROVSKI;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV HISTORIADOR RUBENS;JARDIM ACLIMACAO;CUIABA;MT;78050-280;-15.57092;-56.07015;NORMAL;DROGARIA SAO PAULO;2/2/2024;2024;AR_P;AR;Parcela minima de 60 e até 3X;PADRÃO;(65) 3051-5698;(65) 3051-5699;(65)99685-4102;shoppingpantanal@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;SHOP;NEW;COMERCIALIZA;-;OPERACAO;INATIVO;-;-;-;-;-;-;-;TAKANO;917;140260404;61.412.110/1289-76;2025010000;-;-;-;;NÃO;-;INATIVO;INATIVO;OPERACAO;-;;;
2524;ATIVA;9999;2524;L2524;DSP ALZIRA SANTANA;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV ALZIRA SANTANA,0;CENTRO SUL;VARZEA GRANDE;MT;78130005;-;-;NORMAL;DROGARIA SAO PAULO;9/23/2024;2024;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(65) 3026-9415;(65) 3026-9416;-;alzira.santana@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;-;-;COMERCIALIZA;-;INATIVO;INATIVO;-;-;-;-;-;-;-;-;917;140287434;61.412.110/1292-71;2025240000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
2518;ATIVA;944;2518;L2518;DSP COUTO MAGALHAES;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV COUTO MAGALHAES, 2142;CENTRO-NORTE;VARZEA GRANDE;MT;78110-400;-15.64813;-56.13902;NORMAL;DROGARIA SAO PAULO;2/27/2024;2024;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;(65) 3026-1638;(65) 3026-1639;(65)99695-8093;coutomagalhaes@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;;TAKANO;917;140126937;61.412.110/1242-02;2025180000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
2419;ATIVA;944;2419;L2419;DSP LUCAS DO RIO VERDE;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;R CORBELIA, 1716S;ALVORADA;LUCAS DO RIO VERDE;MT;78455-000;12.92865;56.12292;NORMAL;DROGARIA SAO PAULO;1/6/2024;2024;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(65) 3010-6200;(65) 3010-6201;(65)99937-7122;lucasdorioverde@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;10;-;4;TAKANO;917;139924736;61.412.110/1203-04;2024190000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
2420;ATIVA;758;2420;L2420;DSP PRIMAVERA DO LESTE;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;R SANTO AMARO, 360;CIDADE PRIMAVERA I	;PRIMAVERA DO LESTE;MT;78850-000;-15.54919;-54.29841;NORMAL;DROGARIA SAO PAULO;7/3/2023;2023;AA_M;AA;Parcela minima de 60 e até 3X;PADRÃO;(66) 3016-0120;(66) 3016-0121;(66)99634-7351;primaveraleste@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;4;TAKANO;917;139924728;61.412.110/1201-34;2024200000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
2451;ATIVA;1;2451;L2451;DSP RONDONOPOLIS;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV RUI BARBOSA,1740;CENTRO;RONDONOPOLIS;MT;78700130;-16.469929;-54.633874;NORMAL;DROGARIA SAO PAULO;4/22/2024;2024;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;(66) 3024-5375;(66) 3024-5376;(66)99657-1879;rondonopolis@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;;-;;TAKANO;917;139992251;61.412.110/1219-63;2024510000;-;-;-;;NÃO;-;INATIVO;INATIVO;OPERACAO;-;;;
2396;ATIVA;1;2396;L2396;DSP RONDONOPOLIS II;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV LIONS INTERNACIONAL, 1235;VILA AURORA I;RONDONOPOLIS;MT;78740-046;-16.47624;-54.61402;NORMAL;DROGARIA SAO PAULO;11/30/2023;2023;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(66)30140045;(66)3014-0046;(66)99940-4697;rondonopolis2@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;9;-;4;TAKANO;917;140126945;61.412.110/1243-93;2023960000;-;-;-;;SIM;-;INATIVO;INATIVO;OPERACAO;-;;;
2418;ATIVA;1;2418;L2418;DSP SINOP JULIO CAMPOS;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV GOV JULIO CAMPOS, 234;SETOR COMERCIAL;SINOP;MT;78550-276;-11.85627;-55.50229;NORMAL;DROGARIA SAO PAULO;7/31/2023;2023;AA_M;AA;Parcela minima de 60 e até 3X;PADRÃO;(66) 3015-7610;(66) 3015-7611;(66)99685-2184;sinopjuliocampos@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;;TAKANO;917;139873236;61.412.110/1189-03;2024180000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
2436;ATIVA;1;2436;L2436;DSP SORRISO;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV NATALINO JOAO BRESCANSIN;CENTRO-NORTE;SORRISO;MT;78890-179;-12.542138;-55.727045;NORMAL;DROGARIA SAO PAULO;9/6/2023;2023;AA_M;AA;Parcela minima de 60 e até 3X;PADRÃO;(66) 2013-9658;(66) 2013-9659;(66)99906-3569;sorriso@dpsp.com.br;07 ÀS 23;07 ÀS 23;08 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;INATIVO;13;-;4;TAKANO;917;139924752;61.412.110/1204-87;2024360000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
2547;ATIVA;9999;2547;L2547;DSP VG ARTHUR BERNARDES;MT INTERIOR;CENTRO OESTE;NORTE;CLEBER MARTINS;DAISY TOSTA;BRUNO MAGLIANO;ESTADO DO PARANA;AV PRESIDENTE ARTHUR BERNARDES, S/N;CENTRO-SUL;VARZEA GRANDE;MT;78125-185;-;-;NORMAL;DROGARIA SAO PAULO;8/26/2024;2024;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;(65) 3029-9353;(65) 3029-9354;(65) 9 9988-0193;vgarthurbernardes@dpsp.com.br;07 ÁS 23;07 ÁS 23;07 ÁS 23;DOMINGOS E FERIADOS;-;-;COMERCIALIZA;-;OPERACAO;OPERACAO;-;-;-;-;-;-;-;-;917;140474692;61.412.110/1327-36;2025470000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
1272;ATIVA;417;1272;L1272;DP ALIPIO DE MELO;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV ABILIO MACHADO, 2048;JARDIM INCONFIDENCIA;BELO HORIZONTE;MG;30820-272;-19.899418;-44.004993;ESCOADORA;DROGARIAS PACHECO;3/1/2006;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3471-0631;3417-7231;(31)99884-4991;alipiodemelo@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;N/C;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;ATIVO;ATIVO;ATIVO;-;-;5;ANTIGO;909;3671539864732;33.438.250/0282-58;3012720000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
1251;ATIVA;411;1251;L1251;DP BALENA 1;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV PROF. ALFREDO BALENA, 75 - Nº 111 LJ 103;SANTA EFIGENIA;BELO HORIZONTE;MG;30130-103;-19.924877;-43.927978;NORMAL;DROGARIAS PACHECO;10/1/1982;MADURA;POP_PPP;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3273-2067;3273-2240;(31)99869-1654;balena1@dpsp.com.br;06 ÀS 21;06 ÀS 21;NÃO ABRE;CONVENCIONAL;RUA;NEW;COMERCIALIZA;COMERCIALIZA;INATIVO;INATIVO;ATIVO;ATIVO;ATIVO;ATIVO;-;-;5;ANTIGO;909;3671539863825;33.438.250/0273-67;3012510000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1257;ATIVA;411;1257;L1257;DP BALENA 2;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;R CEARA, 460;SANTA EFIGENIA;BELO HORIZONTE;MG;30150-312;-19.924751;-43.928253;NORMAL;DROGARIAS PACHECO;8/1/1996;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3273-8351;(31)3213-2000;(31)99855-8798;balena2@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;COMERCIALIZA;OPERACAO;OPERACAO;ATIVO;ATIVO;INATIVO;ATIVO;8;-;3;ANTIGO;909;3671539864570;33.438.250/0280-96;3012570000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
1278;ATIVA;411;1278;L1278;DP BALENA 3;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;R DOS OTONI, 862;SANTA EFIGENIA;BELO HORIZONTE;MG;30150-270;-19.925118;-43.928707;NORMAL;DROGARIAS PACHECO;5/1/2003;MADURA;COMPACTA;COMP;-;PADRÃO;(31)3213-9444;3224-4651;(31)99694-1117;balena3@dpsp.com.br;07 ÀS 21;07 ÀS 21;NÃO ABRE;CONVENCIONAL;RUA;NEW;COMERCIALIZA;COMERCIALIZA;INATIVO;INATIVO;ATIVO;INATIVO;ATIVO;ATIVO;3;-;3;ANTIGO;909;3671539866891;33.438.250/0305-89;3012780000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;5/28/2024;;;
1782;ATIVA;19;1782;L1782;DP CASTELO;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV DOS ENGENHEIROS, 530;CASTELO;BELO HORIZONTE;MG;30840-492;-19.891556;-43.997967;NORMAL;DROGARIAS PACHECO;12/26/2023;2023;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(31) 2533-1748;(31) 2533-1749;(31)99555-4739;castelo@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;INATIVO;-;-;;TAKANO;909;24827846243;33.438.250/0689-85;3017820000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
1785;ATIVA;19;1785;L1785;DP DONA CLARA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG INTERIOR Z.MATA-VALE DO ACO;AV SEBASTIAO DE BRITO, 410;SANTA ROSA	;BELO HORIZONTE;MG;31260-000;-19.86156;-43.94355;NORMAL;DROGARIAS PACHECO;10/6/2023;2023;CBR_G;CBR;Parcela minima de 40 e até 3X;PADRÃO;(31) 2531-4668;(31) 2531-4669;(31)98271-8639;donaclara@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;ATIVO;ATIVO;ATIVO;ATIVO;10;-;4;TAKANO;909;24827845093;33.438.250/0678-22;3017850000;-;-;-;;SIM;-;INATIVO;OPERACAO;OPERACAO;-;;;
1279;ATIVA;411;1279;L1279;DP FLORESTA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV DO CONTORNO, 1433 - 1435;BARRO PRETO;BELO HORIZONTE;MG;30110-067;-19.913662;-43.930126;ESCOADORA;DROGARIAS PACHECO;10/1/2006;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3442-4871;3424-9663;(31)99620-9975;floresta@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 20;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;ATIVO;ATIVO;ATIVO;9;-;3;TAKANO;909;3671539864406;33.438.250/0279-52;3012790000;-;-;-;;NÃO;-;INATIVO;INATIVO;OPERACAO;-;;;
1456;ATIVA;417;1456;L1456;DP LAGOA SANTA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;R COMANDANTE VICTOR, 553;SANTOS DUMONT II;LAGOA SANTA;MG;33400-000;-19.647087;-43.905167;NORMAL;DROGARIAS PACHECO;5/13/2014;MADURA;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3681-0867;3681-5388;(31)99581-2331;lagoasanta@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;OLD;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;INATIVO;INATIVO;INATIVO;-;-;4;ANTIGO;909;3671539869459;33.438.250/0471-20;3014560000;-;-;-;;NÃO;-;INATIVO;INATIVO;OPERACAO;-;;;
1457;ATIVA;417;1457;L1457;DP LAGOINHA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;R PADRE PEDRO PINTO, 6680;VENDA NOVA;BELO HORIZONTE;MG;31660-000;-19.802904;-43.99977;ESCOADORA;DROGARIAS PACHECO;6/13/2014;MADURA;POP_G;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3456-3033;3458-0959;(31)97117-3328;lagoinha@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;OLD;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;INATIVO;ATIVO;ATIVO;-;-;2;ANTIGO;909;3671539869521;33.438.250/0472-01;3014570000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
1783;ATIVA;19;1783;L1783;DP MIGUEL PERRELA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV MIGUEL PERRELA, 701;CASTELO;BELO HORIZONTE;MG;31330-290;-19.87622;-43.99531;NORMAL;DROGARIAS PACHECO;10/7/2023;2023;AR_G;AR;Parcela minima de 60 e até 3X;PADRÃO;(31) 2537-5348;(31) 2537-5349;(31)99805-3706;miguelperrela@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;-;OPERACAO;OPERACAO;INATIVO;INATIVO;INATIVO;ATIVO;4;-;5;TAKANO;909;24827845743;33.438.250/0691-08;3017830000;-;-;-;;SIM;-;OPERACAO;INATIVO;OPERACAO;-;;;
1249;ATIVA;417;1249;L1249;DP PAMPULHA 2;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH METROPOLITANA;AV CORONEL JOSE DIAS BICALHO, 361 - 363;SAO JOSE - PAMPULHA;BELO HORIZONTE;MG;31275-050;-19.858292;-43.962889;NORMAL;DROGARIAS PACHECO;11/1/1975;MADURA;CBR_PPP;CBR;Parcela minima de 40 e até 3X;PADRÃO;(31)3491-1392;3498-7201;(31)99879-2080;pampulha2@dpsp.com.br;07 ÀS 22;07 ÀS 22;07 ÀS 22;DOMINGOS E FERIADOS;RUA;OLD;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;ATIVO;ATIVO;ATIVO;-;-;3;ANTIGO;909;3671539864082;33.438.250/0275-29;3012490000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
1270;ATIVA;402;1270;L1270;DP PARANA;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH CENTRAL;AV PARANA - 390;CENTRO;BELO HORIZONTE;MG;30120-020;-19.919348;-43.942442;ESCOADORA;DROGARIAS PACHECO;4/5/2004;MADURA;POP_P;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3201-1106;3201-0697;(31)99572-6349;paranamg@dpsp.com.br;07 ÀS 20;07 ÀS 20;NÃO ABRE;CONVENCIONAL;RUA;NEW;COMERCIALIZA;COMERCIALIZA;INATIVO;INATIVO;ATIVO;ATIVO;ATIVO;ATIVO;-;-;3;TAKANO;909;3671539863582;33.438.250/0270-14;3012700000;-;-;-;;NÃO;-;INATIVO;INATIVO;INATIVO;-;;;
1273;ATIVA;402;1273;L1273;DP RIO DE JANEIRO 2;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH CENTRAL;R RIO DE JANEIRO - 383 E 385;CENTRO;BELO HORIZONTE;MG;30160-040;-19.917938;-43.938314;NORMAL;DROGARIAS PACHECO;4/1/2007;MADURA;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3201-3618;3201-3820;(31)99937-2630;riodejaneiro2@dpsp.com.br;07 ÀS 20;07 ÀS 20;NÃO ABRE;CONVENCIONAL;RUA;OLD;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;INATIVO;ATIVO;ATIVO;4;-;3;ANTIGO;909;3671539865151;33.438.250/0286-81;3012730000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
1283;ATIVA;402;1283;L1283;DP SAO BENEDITO;MG NORTE BH;MINAS;NORTE;POLIANA MATOS;VERONICA GOMES;BRUNO MAGLIANO;MG BH CENTRAL;AV BRASILIA, 2225 - LOJA 101;SAO BENEDITO;SANTA LUZIA;MG;33105-440;-19.790653;-43.924475;NORMAL;DROGARIAS PACHECO;11/1/2007;MADURA;POP_M;POP;Parcela minima de 40 e até 3X;PADRÃO;(31)3635-1661;3634-3121;(31)99870-9098;saobenedito@dpsp.com.br;07 ÀS 23;07 ÀS 23;07 ÀS 23;DOMINGOS E FERIADOS;RUA;NEW;COMERCIALIZA;COMERCIALIZA;OPERACAO;INATIVO;ATIVO;INATIVO;INATIVO;ATIVO;-;-;3;ANTIGO;909;3671539865569;33.438.250/0290-68;3012830000;-;-;-;;NÃO;-;OPERACAO;INATIVO;OPERACAO;-;;;
